pathway	description	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9
PWY-5863	superpathway of phylloquinol biosynthesis	4021.0554	5599.5507	21874.3604	14071.8398	6163.6683	5869.8193	11474.2323	8279.9151	9231.3103	5979.1257	1923.8039999999999	6704.3603	4414.6589	5385.3424	5528.5224	12820.5565	1813.6294	4877.4644	12964.7029	13199.5981	10892.462	4569.2185	9083.1561	5306.2071	7675.6528	10821.5471	6366.2817	13494.0382	10675.7161	5368.6037	4655.3182	15243.5725	11982.5985	17263.3471	16411.0982	8224.6087	3625.7119	7256.8516	4395.4463	7062.7884	6313.0093	11087.671	9998.2047	3989.1217	2875.3633	9029.9773	5778.34	12886.333999999999	2235.881
PWY-5896	superpathway of menaquinol-10 biosynthesis	5068.3701	5837.8942	17086.5525	10122.7566	10498.9556	5964.9416	10624.5934	8340.4578	12692.6203	8666.9824	2271.7819	8237.4126	8322.096	8004.469	4767.2086	7127.5337	2424.4371	5167.0306	9197.48	13209.463	10866.0276	3337.197	11492.81	3546.0812	9933.6065	15785.3574	6382.4187	11867.8383	13279.2443	7603.5043	5727.5783	12447.9002	9030.8978	16765.2837	16781.3568	9639.2395	4184.4725	10556.6717	6016.4106	6171.3643	8169.3257	12212.5707	8496.395	4996.3454	3596.5779	11506.1575	4123.1134	16217.3795	3351.317
PWY-5897	superpathway of menaquinol-11 biosynthesis	7352.9615	8704.1914	24637.084	16628.7285	12091.7623	11561.0604	17978.7289	14481.0577	14450.5394	11478.0861	4472.2253	11958.218	10085.5107	9724.2946	7955.2124	19058.921000000002	3864.7219	10199.2468	16053.5274	19739.2757	15987.018999999998	6077.2083	14955.3422	10149.5872	12935.0119	17407.7277	9582.6263	16649.1849	15938.5023	9596.7645	9499.1752	18862.1179	16834.8279	25862.8745	19155.7345	15462.0627	7552.6562	14396.8171	9206.1085	11829.7793	9353.9094	15137.5095	15381.9789	8420.0229	6460.0086	16169.516000000001	10757.9717	19467.2952	4525.4081
PWY-5898	superpathway of menaquinol-12 biosynthesis	7352.9615	8704.1914	24637.084	16628.7285	12091.7623	11561.0604	17978.7289	14481.0577	14450.5394	11478.0861	4472.2253	11958.218	10085.5107	9724.2946	7955.2124	19058.921000000002	3864.7219	10199.2468	16053.5274	19739.2757	15987.018999999998	6077.2083	14955.3422	10149.5872	12935.0119	17407.7277	9582.6263	16649.1849	15938.5023	9596.7645	9499.1752	18862.1179	16834.8279	25862.8745	19155.7345	15462.0627	7552.6562	14396.8171	9206.1085	11829.7793	9353.9094	15137.5095	15381.9789	8420.0229	6460.0086	16169.516000000001	10757.9717	19467.2952	4525.4081
PWY-5899	superpathway of menaquinol-13 biosynthesis	7352.9615	8704.1914	24637.084	16628.7285	12091.7623	11561.0604	17978.7289	14481.0577	14450.5394	11478.0861	4472.2253	11958.218	10085.5107	9724.2946	7955.2124	19058.921000000002	3864.7219	10199.2468	16053.5274	19739.2757	15987.018999999998	6077.2083	14955.3422	10149.5872	12935.0119	17407.7277	9582.6263	16649.1849	15938.5023	9596.7645	9499.1752	18862.1179	16834.8279	25862.8745	19155.7345	15462.0627	7552.6562	14396.8171	9206.1085	11829.7793	9353.9094	15137.5095	15381.9789	8420.0229	6460.0086	16169.516000000001	10757.9717	19467.2952	4525.4081
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	3335.3178	3006.5097	13366.8146	8372.4913	2690.6122	2475.5373	6757.6254	4946.609	4216.6329	5712.7095	1012.4533	2361.7313	1063.9579	2049.6679	26920.8798	10291.2157	22506.3994	2321.2594	9500.6196	4573.7204	7132.5652	18191.5595	7804.2407	2083.9328	5725.7815	4608.8514	6587.4603	9939.3981	10979.1989	4176.8349	1937.3282	10016.2055	7941.4211	6290.1219	5822.5834	5554.8347	1613.6605	1754.2682	2575.3128	4125.2362	2739.6661	15066.7542	6947.8279	784.1558	2182.24	6843.2208	2237.8621	1305.6036	2895.4767
PWY-5913	TCA cycle VI (obligate autotrophs)	22278.1117	21731.4126	30803.4209	26643.6369	31618.0239	44229.0705	27501.8555	38587.8673	27480.0817	42753.9964	35734.5388	39699.2603	30969.6457	33766.464	31159.1113	28310.4773	29779.963	36879.5401	25833.321	34624.2639	29080.7189	21727.5421	37464.2175	29751.013	35832.5171	37938.3236	23662.6621	22647.236	30551.0099	26607.5882	40808.8108	29379.5133	26332.7066	34525.4008	27958.8632	44257.8777	35177.2995	29066.2348	42202.5098	23242.1705	22275.6602	25334.3787	35740.6232	27492.5323	36091.4115	42662.2497	28782.528	38024.9297	11257.9492
PWY-5918	superpathay of heme biosynthesis from glutamate	6010.0491	6988.9081	20767.2514	15874.458	7273.8105	24429.9297	10038.8489	21762.8443	16996.2119	15147.0792	3214.6823	8460.5688	6866.8132	7603.3865	14605.83	13352.4952	11211.3692	7859.3595	12458.0658	10890.3846	13091.3443	7266.5411	21463.1136	4909.2513	21681.0504	12410.2301	8888.8809	12073.6759	22380.2036	8308.4954	6449.206999999999	15414.4858	11279.7992	14785.0052	18427.7457	12655.5031	3637.1998	23610.8465	5160.7924	10755.9179	9110.5538	10940.7349	12476.1554	6154.9129	7608.3244	17843.0456	5932.4536	10307.6319	5262.3084
PWY-5920	superpathway of heme biosynthesis from glycine	3815.9835	3960.1375	9848.9094	10411.4633	3520.952	7491.5283	4236.7899	8344.2089	7701.7277	10631.8764	2063.3448	4956.6863	2934.2982	4630.3045	5965.3635	9284.7565	2341.7588	3652.1356	7305.8811	5921.7071	8795.4763	3630.6246	14521.9808	2932.2847	13136.6959	4340.9126	5817.3218	6139.4729	16867.0844	4377.2478	2902.3833	7854.2649	8403.6542	7098.5443	6985.2903	8293.8852	2028.3872	4459.8074	1774.5695	5990.0471	3623.493	4944.9517	8194.7335	3016.275	2438.841	11946.2377	3555.3365	5515.3638	3068.1587
PWY-5941	glycogen degradation II (eukaryotic)	132.0009	241.5552	874.5587	546.2007	729.9147	25329.4589	2242.4376	21449.4156	2638.2996	1917.989	1005.2563	1940.9878	1271.1203	1336.4208	1693.1494	2339.8447	19.9945	1720.7666	404.9025	913.1509	144.8283	161.6272	273.2954	75.9298	1271.2346	191.2884	384.2863	251.9093	551.5081	112.156	1984.0572	545.3835	1818.682	1657.5375	384.4528	213.5848	43.9751	99.8269	87.8964	70.7065	96.211	154.6243	597.3731	278.2984	87.8753	306.7732	241.581	71.9144	226.4746
PWY-5971	palmitate biosynthesis II (bacteria and plants)	22057.7046	23155.7905	49822.244000000006	38920.1587	26908.9739	47096.6739	44745.3003	48449.8603	25594.5777	43071.8158	22051.3476	38492.4268	20420.4055	31510.4114	20274.7033	29881.6798	23006.2572	50976.0572	36798.0901	37340.0255	34147.7995	16750.1793	41103.9341	35284.9437	35830.1204	35991.5203	26472.8905	40487.3619	35913.385	27363.3699	39767.1921	41028.604	31312.2333	42473.3581	40391.561	55900.5353	26440.6429	23506.0931	36222.8655	32344.7403	24484.0274	42730.4103	40973.143	29371.5942	33208.4077	55480.5466	42004.2281	28382.0096	12388.0473
PWY-5973	cis-vaccenate biosynthesis	37275.4751	41983.8385	60644.2916	57056.4543	49952.1374	65180.5785	60386.1247	59326.4169	43297.9687	54656.9195	55427.6268	55656.0896	71711.4032	50585.9359	53439.1093	59801.0478	54391.4673	66241.8813	47049.2312	53615.49	50963.7723	58230.3576	57177.6625	62032.9717	57809.8958	52067.4858	38348.0301	50747.5115	49165.8928	47024.2372	58616.8221	53115.0883	50624.4154	65807.9618	50223.4075	62377.6651	61500.3271	50532.4028	63655.6976	44847.5687	42908.8018	50184.2688	56770.7218	48151.5897	56154.5426	61961.1629	59376.5878	55811.0135	25059.8044
PWY-5989	stearate biosynthesis II (bacteria and plants)	20990.1766	20382.9	45315.210999999996	33725.5422	30229.1152	61259.437999999995	41795.7957	50448.875	22555.1972	43563.3754	24181.7897	43652.9309	20012.1944	33999.0481	15733.3696	23755.6712	26077.1111	64668.5915	32736.5	35013.1845	30033.5522	12454.4398	37872.0494	36559.7835	31817.4797	32875.1051	23046.3485	36018.1857	31666.6106	25522.8872	46870.7006	36719.5243	26464.1161	38207.6866	40099.5894	60453.306	32169.0377	22221.8529	34813.0829	31485.3014	22360.881	38153.3312	37945.1208	48673.992999999995	32871.7831	58172.8241	48552.0548	34575.5792	9868.3162
PWY-6071	superpathway of phenylethylamine degradation	413.2783	479.3686	2154.768	1476.0857	299.305	540.9001	560.2104	814.3161	772.132	1667.7042	173.2721	533.7542	222.1517	164.1057	379.2856	933.9182	182.5032	642.6301	1123.1961	820.367	759.5247	395.8234	2234.3853	414.716	2105.8494	373.892	656.5054	991.1604	2440.9325	375.4327	357.6284	1250.6948	881.5708	1186.5805	1636.9743	1273.6958	168.0627	351.1436	123.0203	488.5306	241.8926	672.1979	1045.1861	386.1751	432.6563	1764.3525	483.525	468.6115	239.2503
PWY-6107	chlorosalicylate degradation	82.4396	74.7887	236.8634	501.4175	42.6522	97.1065	104.2897	220.7442	163.3109	1524.5539	45.1528	120.3791	61.5089	54.8223	88.7916	461.6604	91.7197	185.9897	305.32099999999997	190.1195	243.4788	59.8524	1874.0427	153.1701	438.2019	154.971	244.7884	304.5155	2283.762	17.6425	39.3953	116.3356	175.8163	116.1738	74.9799	626.3942	20.7692	17.679000000000002	0.0	103.9146	17.373	129.4676	429.2451	18.8383	194.8455	1667.3058	83.9441	100.2004	19.6198
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	33945.2351	37874.6539	49243.0599	49965.5795	44092.5507	47455.8237	53704.0363	44986.8106	37963.3506	50639.0867	47843.8232	46620.5846	61858.0151	43620.2295	56917.5333	56513.5804	52430.8615	56300.7352	43995.0132	46716.4595	49638.0676	57424.3536	56561.8545	56129.3636	49846.6925	45678.7648	35718.3121	45334.9647	50525.9308	41675.6779	47689.9509	45929.4425	45901.8178	53899.1952	41531.8522	54925.0854	54858.9749	43206.4718	56256.1891	41972.6899	38939.7173	44565.6811	50889.628	41007.0501	48450.7168	58412.0961	53625.6659	47035.8275	25574.5055
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	33357.8688	37091.1259	47501.0815	49254.9822	42236.5445	45970.4443	52247.1375	44000.973	37774.4005	48318.8651	46767.5265	44562.6186	60671.8511	41914.0935	53900.8816	56395.6979	49870.3035	53419.7199	42904.7536	45186.7548	49282.2259	55779.9295	54846.1853	55029.6722	48940.1344	43886.5771	35029.6917	44159.4296	49241.2717	40650.8153	45132.8942	44638.0341	45463.7372	52404.5246	39856.4646	52444.7428	53399.8614	42863.191	54435.4325	41992.288	37961.8039	43138.1634	49435.3965	38733.437000000005	46551.7221	55762.3091	51797.6306	45393.9601	25602.1581
PWY-6123	inosine-5'-phosphate biosynthesis I	32947.1691	36759.1867	44919.5827	45803.6213	43986.6516	44289.598	51991.1691	42519.4226	34963.3417	45459.0307	48782.9223	43818.2563	65849.1894	41427.3772	51795.74	54893.7564	49959.2044	53491.8166	40321.726	44891.0131	47490.3046	55735.3608	51501.8694	54655.6892	44498.5122	44600.1294	32751.9102	42911.8394	43627.5166	40065.0307	45226.8079	42261.8549	43981.8695	54230.8111	38673.4745	51040.1831	52822.4876	39569.8342	54836.8843	42389.3672	36801.2078	41017.6246	46929.1815	38834.0526	47628.2267	52541.9149	51041.7257	45378.473	25538.9714
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	23839.4479	25207.0663	41735.2311	34591.9178	37772.0478	39637.8792	44738.7205	37472.4893	28972.8276	40520.852	38138.6475	35810.3523	58171.7867	31660.8211	31141.6032	31902.5501	19447.228	44947.2196	35395.7764	39968.6977	37832.6678	39966.8353	44459.9382	40451.2078	39745.0775	39104.4959	25511.4969	37197.8452	39536.4282	30753.0515	38107.7365	38060.3096	31023.9289	48671.937999999995	33829.6834	46490.8041	39026.699	36913.9432	41442.7876	23713.6599	23693.5605	37959.5969	38584.3877	34383.8041	38474.6857	47317.2809	39664.9501	40050.2989	19222.0463
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	36125.0262	40804.6633	52009.7352	52049.8419	45061.617	43989.9734	55913.8317	43241.4853	36283.9657	44786.5851	48305.3009	45861.0759	65398.0866	44302.0128	59801.5938	59560.958	56191.2567	55369.1156	46006.6567	47631.257000000005	53099.7736	60481.9315	53612.9156	57785.5164	49727.4825	47793.2809	37260.7306	48132.4445	46083.5432	44010.6557	45337.512	48195.2445	48236.0415	56864.206	44573.5182	51358.3092	59787.6383	40301.4734	56661.7892	45363.6616	42077.4812	45405.8421	51594.0026	38913.0589	49046.5319	53839.5788	53173.3457	48484.441	27025.6262
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	0.0	0.0	0.0	165.6943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6143	CMP-pseudaminate biosynthesis	105.8036	31.3977	42.7155	28.7266	82.915	0.0	17.2347	45.3041	104.4599	7.5843	0.0	30.5346	0.0	31.1164	114.721	31.351999999999997	1167.2694	47.5438	584.5636	437.0911	2127.3725	32.4102	84.6469	53.6552	310.0104	52.4431	107.2474	59.3509	79.0003	136.9427	22.8052	135.5989	33.6695	113.5683	256.3772	31.0418	10.935	0.0	10.0839	119.9497	60.5096	17.2003	32.3892	45.0654	46.5765	37.0568	30.2157	15.5354	82.0313
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	25793.3509	32314.3328	38106.4576	32850.7769	37972.9316	43438.3987	43161.5718	39886.0191	32275.5097	41923.3266	39662.5015	38106.1416	58484.4722	36869.6969	48195.9218	44922.7799	42760.5598	45302.4435	32017.9336	36518.0416	37416.4217	55721.3421	46679.1641	38764.268	34834.3362	36070.7452	26470.2051	31903.7846	35946.2483	33712.8651	40305.7973	34952.557	35501.6622	47205.2216	35202.7647	45522.2177	39448.2361	38950.6267	47117.7251	34471.5104	33285.7136	29761.3722	38783.425	34534.2036	42532.1879	46449.1757	39484.9564	36049.1882	19048.483
PWY-6148	tetrahydromethanopterin biosynthesis	0.0	0.0	0.0	330.6296	0.0	17.9845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.6948	0.0	0.0	3.5989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6151	S-adenosyl-L-methionine cycle I	22171.3333	18447.8089	37639.123999999996	36865.2745	22701.9821	34362.83	31650.6506	33122.2549	20664.2591	24110.6218	25143.8809	27942.7145	18728.2695	22619.7015	39759.1436	38631.4662	39012.4438	35884.5253	31024.6846	26886.1807	36720.6621	30221.728	30447.8616	40669.7386	23404.7737	28478.3581	21866.0167	29137.1597	33144.9651	22759.171000000002	25090.4029	31130.2462	31092.8289	28624.9296	27485.9182	31970.3594	32995.0979	21399.5241	33447.1807	31606.2358	20062.7297	30786.6074	30486.8931	25513.9765	23599.7257	34678.5159	37961.3304	26107.1096	19827.1834
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	31100.7676	34909.1282	44609.4185	47187.147000000004	39202.4795	43275.5837	46733.3887	41613.2852	33628.4028	42229.5715	43960.3377	41007.7785	58671.9678	37806.2429	50323.648	51482.9813	47485.6063	47695.062999999995	38091.6083	41346.3592	45154.6237	51325.2995	49457.3622	52198.4619	45613.6828	40285.9627	30999.011000000002	39763.74	44131.1216	37927.6763	40625.0277	40401.8757	41464.4096	49699.5441	38253.3974	46002.2781	51065.4417	37974.7209	51186.1945	39140.7886	36164.1377	38121.5301	45091.3683	35215.6515	43954.9955	48658.5286	48246.0919	43091.16099999999	23645.7005
PWY-6165	chorismate biosynthesis II (archaea)	523.3889	462.1241	316.2196	786.1702	842.0574	646.3959	435.9961	754.0565	320.3146	307.345	318.3344	619.9609	828.0682	382.4898	161.9493	362.87699999999995	188.965	802.5494	408.5435	765.2396	218.4895	218.7705	258.3784	472.4746	767.4778	526.1149	519.9461	463.9378	400.1657	583.1208	505.4169	439.9834	710.4255	936.8225	157.7102	501.7844	832.8313	657.7232	262.4142	188.9665	361.3938	307.6473	377.6417	414.6658	119.5721	358.8363	482.5156	1670.1773	108.1829
PWY-6167	flavin biosynthesis II (archaea)	0.0	0.0	0.0	490.2432	0.0	196.0264	0.0	58.836999999999996	32.9357	0.0	0.0	0.0	0.0	0.0	0.0	14.9544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.3532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.9479	114.7812	0.0	37.2401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6174	mevalonate pathway II (archaea)	0.0	6.7404	0.0	370.3931	0.0	187.1257	0.0	53.5468	29.8411	16.7685	0.0	0.0	0.0	0.0	0.0	13.6602	0.0	0.0	36.2714	6.8027	7.2385	0.0	0.0	0.0	254.9634	0.0	0.0	11.6736	29.5566	0.0	10.118	20.3154	6.8862	0.0	36.0593	83.6357	0.0	50.9127	0.0	12.8541	0.0	0.0	19.7751	0.0	0.0	6.8012	8.2732	14.1568	0.0
PWY-6182	superpathway of salicylate degradation	374.7603	369.7435	2004.6707	1830.3376	345.2715	1050.7192	569.6675	1169.9462	777.0218	4047.0878	234.7469	552.7222	241.0261	252.44799999999998	428.1683	1438.3485	213.5448	736.4625	1174.3619	723.8480000000001	814.0217	356.176	4996.3719	481.9514	2403.1693	530.2445	997.4116	1001.7801	6024.1434	348.0545	323.4811	1043.5234	938.9138	978.1581	804.6522	1904.6041	159.355	246.8562	99.6251	472.2506	211.9946	557.2677	1340.724	765.69	1711.8734	4303.6282	651.3072	321.6085	187.8703
PWY-6185	4-methylcatechol degradation (ortho cleavage)	355.3261	378.1461	2029.6498	1768.8609	267.7566	674.5772	536.4611	988.6225	745.3487	3044.2061	195.1765	531.3615	218.1993	172.0903	398.2429	1144.5595	194.6238	686.4464	1139.9258	705.5189999999999	787.6713	347.995	3780.7359	444.5324	2213.2928	406.5653	669.8245	969.8067	4816.3961	332.5757	309.5172	1040.7515	911.5337	1001.6894	872.0923	1445.2720000000002	154.5868	259.8926	101.8227	452.9378	184.4401	562.3852	1127.9605	669.4213	1626.9163	3677.5137	603.3134	311.2676	182.7943
PWY-621	sucrose degradation III (sucrose invertase)	24654.0868	19692.8279	41231.9107	37315.0016	26142.6076	20273.5301	37340.7192	22302.9814	20483.8133	26695.1878	29364.2551	33962.2163	29608.8626	30710.8801	37362.3381	29237.1233	39827.1976	30361.4642	32979.8395	28666.0153	36200.6332	43945.9131	25009.5043	37677.0894	28027.5948	33117.7186	24020.769	34644.5719	30169.5984	25978.3691	27519.3568	36091.7396	27457.7556	31951.9797	34508.16	23765.3356	27498.7695	24665.076	41468.1704	25922.6617	32045.1011	39577.0473	29361.6768	19669.3154	30240.0947	30565.3476	33666.092000000004	30422.1994	17423.6421
PWY-6210	2-aminophenol degradation	47.1199	32.0234	20.2225	54.2246	38.2662	129.4218	23.4918	78.4979	81.7347	52.6889	5.1255	21.7945	74.5269	24.5231	1.5	56.208	28.5141	131.6085	97.6499	50.8866	82.5838	0.0	166.2845	75.0767	1620.9343	119.6172	97.6026	75.3111	106.8651	92.9885	102.0354	93.4206	54.5948	29.5502	41.9776	203.3786	8.524	149.44299999999998	0.0	15.4733	29.2975	41.9502	83.508	119.0076	165.5365	86.3869	54.8644	64.5043	49.6867
PWY-6263	superpathway of menaquinol-8 biosynthesis II	3024.9433	1896.5497	4290.4704	2595.0391	2053.1467	4974.8832	3732.9636	3755.6353	3036.3327	1649.2265	6429.9681	2474.6437	1109.9205	1266.4063	4830.7768	2769.1046	3316.6822	2746.6498	4634.657	2154.1534	6034.815	8605.8256	1611.8283	4712.9002	5542.686	1223.8912	1549.2078	1638.0298	1396.0618	2464.5027	1686.8469	4949.4335	2373.9284	1817.255	2184.7805	3549.5312	2465.31	1949.826	1641.5327	1914.9347	1602.7944	1729.8733	1786.682	4705.5202	2702.8345	3023.7872	4232.5541	1636.6699	1435.2674
PWY-6269	adenosylcobalamin salvage from cobinamide II	20856.1884	25400.6549	20827.8266	27179.474	24698.401	29394.4962	24634.3302	25398.57	18405.042	24764.3414	31815.9189	27066.7116	25627.9956	25907.4098	44930.3544	25605.2317	44595.5584	38283.8793	19774.6429	23383.0916	23302.3658	48152.9516	30252.7725	40160.0574	25684.5982	26260.8699	20216.0652	18109.3278	22967.4998	26413.3262	27319.2871	21984.0049	22430.0089	23655.7977	24177.9802	30957.1818	42293.4911	18029.564	34807.779	24340.6842	27527.843999999997	21490.8789	30062.6188	27282.6536	27809.1415	32365.0423	37056.7462	27084.6322	12441.8818
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	33357.8688	37091.1259	47501.0815	49254.9822	42236.5445	45970.4443	52247.1375	44000.973	37774.4005	48318.8651	46767.5265	44562.6186	60671.8511	41914.0935	53900.8816	56395.6979	49870.3035	53419.7199	42904.7536	45186.7548	49282.2259	55779.9295	54846.1853	55029.6722	48940.1344	43886.5771	35029.6917	44159.4296	49241.2717	40650.8153	45132.8942	44638.0341	45463.7372	52404.5246	39856.4646	52444.7428	53399.8614	42863.191	54435.4325	41992.288	37961.8039	43138.1634	49435.3965	38733.437000000005	46551.7221	55762.3091	51797.6306	45393.9601	25602.1581
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	20616.424	19961.6081	45454.0782	34128.385	29280.7815	60005.3791	41300.1603	50020.1153	22320.0324	41723.4664	23761.6189	42064.3674	19713.5916	32887.6303	15589.1469	23397.8406	25796.1643	61737.9847	32646.4962	34352.9966	29653.8075	12429.0165	36746.4481	36148.1016	31204.416	32212.6629	22691.2598	36459.9701	31286.4981	25011.6136	44736.4723	36552.4715	26166.6925	37485.4535	39225.27	57795.8181	31590.2007	21965.6159	34008.5877	30854.1627	21828.9873	37893.0555	37064.9528	46305.3059	31972.5496	55847.9451	47367.937999999995	34045.9174	9761.0859
PWY-6317	galactose degradation I (Leloir pathway)	24440.352000000003	32862.6856	38906.4096	37826.3261	22625.5615	22198.5856	33842.7622	22903.752	24335.6478	24465.7326	29003.5796	32948.0861	24055.8107	32823.8284	31293.4267	38901.2363	39923.8161	35431.5516	33935.6122	28900.5556	35035.3341	43158.4271	38770.2918	43909.9842	30645.5414	30089.03	27464.706000000002	31534.7789	31071.718999999997	31382.4056	24959.4156	35822.282	31642.9847	30646.8349	35260.6312	27254.0337	45559.765	25052.3527	36787.1736	29901.1396	36105.4065	34657.5925	37742.7558	19800.9738	26852.6707	34539.9399	39781.6348	31291.3705	18297.2565
PWY-6338	superpathway of vanillin and vanillate degradation	78.8916	71.1717	47.9531	103.4384	88.6442	159.7769	66.0036	65.3519	151.2987	129.406	51.1834	73.6926	45.8027	22.4915	66.592	140.7068	43.4102	177.5981	161.3514	90.3533	95.7276	0.0	74.818	56.1589	1560.3599	81.6848	196.8576	65.8868	147.8789	121.3162	63.1976	126.2935	95.7708	114.0526	68.2025	83.9046	20.7213	86.3815	24.5105	39.5718	84.4498	60.8898	115.0385	250.8465	89.5931	43.496	63.1435	87.76799999999999	97.8734
PWY-6339	syringate degradation	0.0	0.0	80.274	204.7631	150.6923	301.5527	121.4889	334.4649	263.6915	280.093	88.7219	124.3053	81.9654	68.6491	110.5051	223.6984	74.866	318.6304	326.7275	145.3686	177.0454	0.0	456.3513	0.0	4441.3917	187.7924	378.4334	0.0	567.9536	0.0	121.3428	218.7037	203.2326	254.3985	137.2621	265.1788	78.8049	285.3593	0.0	87.4607	136.3935	0.0	304.061	731.7277	163.9298	328.0039	101.536	0.0	0.0
PWY-6349	CDP-archaeol biosynthesis	0.0	0.0	0.0	192.1423	0.0	24.6196	0.0	0.0	15.4067	0.0	0.0	0.0	0.0	0.0	0.0	11.4425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.8045	0.0	0.0	2.8179	0.0	0.0	0.0	0.0	0.0	0.0	6.3871	37.2979	0.0	15.3874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6350	archaetidylinositol biosynthesis	0.0	0.0	0.0	178.822	0.0	28.1674	0.0	0.0	13.4866	0.0	0.0	0.0	0.0	0.0	0.0	8.3393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.2231	0.0	0.0	2.3967	0.0	0.0	0.0	0.0	0.0	0.0	5.7061	35.8416	0.0	13.8907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6353	purine nucleotides degradation II (aerobic)	15911.7652	13604.7756	35749.2622	31412.4461	16684.9537	25264.785	20550.3371	26281.8	20457.8453	19884.0933	10178.2456	19463.9781	23805.0054	18573.4036	14365.9586	23315.9969	9974.635	16094.3113	22482.902000000002	22928.8068	21931.5273	11251.0063	25006.8382	19104.3355	28383.7527	25919.0993	17505.307	23091.2741	28388.0029	18849.2505	13636.6131	28428.8017	21776.9253	30879.0063	31429.8225	23041.2309	25314.2761	20791.0031	18337.2393	14898.3762	16113.8146	20713.6288	24535.284	15971.4861	17819.0614	23300.4497	18002.8956	24249.4297	9123.8965
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	319.9272	516.5714	865.4246	1982.6454	295.1615	562.9148	917.4978	1065.7558	894.2218	5495.1773	305.0387	336.1368	390.7876	447.0911	7803.535	2762.4561	231.077	474.6122	1793.885	1226.0552	2583.9907	2433.4138	7377.9011	713.2088	2889.1279	774.9743	2002.2514	1587.1534	8699.9766	258.5798	280.6396	919.4238	1407.6326	580.7332	566.9179	2442.4524	175.0726	327.7594	112.9276	390.4738	352.6519	633.7196	2490.6711	331.3331	116.325	5324.2271	536.4968	775.4364	319.247
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	30970.8323	35332.9762	44361.6746	45688.8454	39132.2899	41977.7001	48479.825	40981.1045	34760.0418	43496.4097	44660.924000000006	40618.3853	57720.2077	39133.0255	50828.0135	52349.6996	48821.4318	48548.0577	40280.4456	41180.8216	47141.0878	52975.9232	50578.6083	51694.7578	45231.9096	40769.4321	32902.9468	42006.9904	45137.9209	37873.2987	40997.3014	41325.7904	42246.5281	49258.9726	39019.4832	46159.7641	49690.8379	38618.1019	50489.2303	39755.7423	37976.4969	38787.2674	44798.7706	33934.3082	44346.5219	49796.3336	47847.9356	41285.0672	24038.8917
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	31339.1459	35688.3431	44662.1117	46237.3739	39393.1366	42233.9259	48725.0963	41166.6769	34985.4885	43955.6684	45277.7681	41056.5761	58051.125	39726.0451	51073.2994	52626.3695	49962.8581	49009.8642	40781.8939	41219.6657	48346.0009	53866.9045	50774.9798	52444.6705	45492.7215	41064.9165	33189.4874	42240.4355	45480.252	38280.6357	41513.9925	41725.4867	42564.552	49563.0453	40066.3297	46371.5363	50137.1433	38598.646	51313.2187	40450.2026	39605.5063	39266.9093	45166.2008	34015.0186	45056.1582	50136.9413	48594.8007	41259.3793	24357.9675
