Pathway	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S4	S5	S6	S7	S8	S9
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	4532.58	4998.53	5032.83	6306.51	5185.64	5784.48	4285.2	4950.65	4211.24	5424.36	3253.95	3317.67	3480.74	3914.51	3292.44	3667.55	5491.87	3823.44	5991.37	5452.35	4442.08	6676.74	3169.26	4214.37	6380.09	4353.34	4631.38	4996.71	3654.62	4955.58	5859.71	5617.96	5821.93	5392.47	6944.95	4423.38
PWY-5173: superpathway of acetyl-CoA biosynthesis	389.404	8.57686	48.5192	0	9.49761	40.1883	33.8761	328.852	2798.72	1069.29	95.9951	364.215	117.059	834.309	41.2007	1257.41	989.543	212.487	223.017	534.057	522.752	218.516	287.494	1727.38	2021.46	89.1725	39.9881	1101.48	228.152	296.448	186.019	79.9971	251.852	571.654	141.664	2333.88
PWY-5177: glutaryl-CoA degradation	1310.93	1066.66	879.623	1129.27	234.483	811.583	306.88	1594.46	1430.27	2953.08	649.59	1061.78	441.993	2104.95	306.09	1917.86	1964.13	734.744	1031.78	3403.03	1427.12	1441.11	558.565	2129.75	3702.96	1210.13	539.827	3212.48	1194.84	1354.58	2300.78	1403.38	2078.01	2329.19	1375.62	2350.91
PWY-5181: toluene degradation III (aerobic) (via p-cresol)	0	0	0	0	0	0	0	0	544.38	111.832	0	42.5828	0	211.902	0	0	280.009	0	106.273	0	0	79.7709	12.2273	0	81.6354	0	0	258.996	0	0	0	0	36.5077	162.73	0	1419.9
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	2534.29	1076.45	993.105	1699.19	1782.6	1578.98	736.89	1691.59	3005	1815	484.676	718.309	660.762	1540.71	1322.21	2250.97	2146.5	1951.66	1947.66	1755.67	1947.44	1985.67	965.014	2331.91	3137.2	771.433	1674.81	2465.42	939.366	2045.6	3078.55	917.549	2684.32	2361.2	1879.79	4695.19
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	432.754	17.2235	0	28.9432	10.5288	103.916	58.6121	176.502	2168.31	769.695	137.24	413.494	85.3832	613.149	737.787	1111.05	831.601	180.063	202.691	591.992	585.664	118.309	33.9336	1458.49	564.306	33.6408	509.695	1026.69	238.771	243.301	146.018	71.9895	136.863	681.089	69.6916	1444.58
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	0	0	0	0	0	131.804	0	0	0	0	0	0	0	49.6119	92.0205	95.7823	0	124.903	0	0	2321.51	0	183.168	0	0	0	289.981	0	72.9278	83.1127	1263.95	0	19.265
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	182.234	296.207	29.0006	448.672	560.284	417.928	0	417.482	4.24727	165.313	76.7631	6.90655	35.922	18.6275	28.8161	0	246.558	0	104.4	0	32.0635	217.178	53.5266	0	185.174	44.8476	55.4391	43.4982	105.423	84.7234	4.11729	23.5763	41.1367	971.594	770.935	83.7353
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	2249.75	41.3074	181.403	0	57.415	2883.7	797.402	1371.87	3503.59	2409.66	942.123	2841.3	1774.39	2126.08	85.0297	2586.35	2795.1	1491.38	1765.22	1847.93	2136.21	1459.35	283.516	3003.95	3996.62	531.405	56.3196	2855.35	1643.87	2075.07	1286.45	1342.55	1877.79	3505.58	368.382	3578.92
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	1115.9	1356.47	1192.71	992.43	667.397	1585.75	1206.87	1020.63	4434.25	2509.72	1845.62	2079.9	2143.12	2902.18	167.807	3367.12	2544.66	1045.66	1080.36	2543.58	2185.09	1457.91	1337.89	3920.03	3587.37	1338.68	609.445	4100.48	2229.38	3492.81	2064.35	1755.4	1261.21	2674.64	1028.61	3655.69
PWY-5367: petroselinate biosynthesis	148.376	225.49	31.8078	4.32896	0	51.8834	6.8651	121.483	1032.62	519.347	41.6511	179.201	45.2246	383.582	70.6037	447.678	98.8221	94.9517	297.712	200.698	221.634	315.888	25.7809	975.014	293.905	454.185	80.7897	529.857	97.1725	157.417	793.36	45.2021	11.6909	297.893	11.8151	189.375
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	786.172	345.405	102.932	321.717	95.151	289.605	54.0134	538.014	2311.36	884.149	493.467	373.9	217.496	732.942	19.0848	1657.39	861.226	490.971	664.189	997.187	326.463	723.907	331.56	2416.77	1777.13	316.397	53.171	1181	645.11	1220.62	233.733	949.289	859.892	606.989	346.76	2226.84
PWY-5392: reductive TCA cycle II	29.537	0	74.8539	0	0	0	0	53.3576	0	75.7737	0	0	0	141.855	108.108	0	511.361	0	83.4918	28.0528	115.435	71.2738	120.015	20.8421	149.33	38.0481	112.888	180.35	0	0	116.114	0	227.714	120.27	35.4497	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	396.418	73.1393	0	40.9399	0	227.899	0	0	273.143	0	118.19	0	5.8955	116.764	8.89504	0	81.9378	0	0	217.57	0	0	34.2194	0	119.191	147.133	0	1144.06
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0	0	0	0	0	0	0	0	396.418	73.1393	0	40.9399	0	227.899	0	0	273.143	0	118.19	0	5.8955	116.764	8.89504	0	81.9378	0	0	217.57	0	0	34.2194	0	119.191	147.133	0	1144.06
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	564.941	45.7716	121.083	0	42.0432	159.312	127.551	320.129	37.2211	224.703	256.645	8.06338	123.997	153.403	152.25	179.739	509.033	252.489	159.657	164.607	484.647	335.694	208.219	1571.32	1981.73	186.139	152.612	304.183	402.901	266.321	263.857	227.962	557.161	974.812	313.399	1844.68
PWY-5484: glycolysis II (from fructose 6-phosphate)	5687.04	2975.53	6191.85	5571.26	3877.55	2706.16	8127.17	4251.58	4284.05	4951.86	6266.69	4676.11	7757.09	3193.52	1853.61	5474.82	4597.33	3275.42	4391.58	4070.36	3663.18	3873.09	4349.78	4590.76	4353.99	3194.15	1870.9	4065.14	6378.84	3624.07	3185.77	6557.37	4524.95	4438.78	4514.72	3484.33
PWY-5505: L-glutamate and L-glutamine biosynthesis	466.273	730.609	668.485	755.585	595.058	1796.06	341.56	475.018	126.011	482.285	304.534	342.111	191.825	1753.63	658.136	2281.29	793.682	297.348	738.355	1316.92	772.036	940.144	657.11	267.852	1155.28	1075.94	830.075	1766.09	409.121	1075.11	554.838	1237.24	1742.25	1491.68	1386.9	636.515
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	485.65	0	0	0	33.2654	220.166	247.115	472.613	3121.08	1705.74	294.093	955.334	151.744	1371.4	0	1726.48	1260.05	532.518	412.698	1166.71	903.104	387.621	112.043	2283.16	1571.21	188.99	25.8714	1807.93	550.813	284.943	186.791	183.767	337.046	1035.4	184.849	2518.82
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	0	0	0	0	0	0	0	0	0	23.9161	0	1.85644	0	48.717	0	0	0	0	1.95493	0	0	1.14975	0	0	1.87055	0	0	59.503	0	0	0	0	0	0	0	0
PWY-5656: mannosylglycerate biosynthesis I	301.56	0	0	9.44992	16.1974	54.4943	11.5747	201.381	1095.23	414.747	112.051	362.216	64.8791	365.678	0	868.57	47.6131	99.3986	9.02819	539.777	277.155	6.64782	32.3613	738.558	267.558	5.1346	0	500.23	173.446	193.973	83.5214	61.8248	22.3528	231.971	0	98.8666
PWY-5659: GDP-mannose biosynthesis	5216.35	3340.71	5443.55	3514.26	3594.08	1473.22	6040.22	2711.01	2666.35	2669.33	5686.62	6268.58	4596.67	1861.09	856.044	3836.58	2861.48	1622.5	2751.73	4372.61	2310.8	2169.99	6273.14	2231.42	1605.86	3637.39	795.008	2045.53	4931.77	4034.83	3615.94	3660.51	3464.38	2773.06	4616.2	1525.42
PWY-5667: CDP-diacylglycerol biosynthesis I	8699.42	10747.3	11122.7	10419	11554.3	8036.42	10133.4	9461.96	5377.79	7158.64	9695.66	9948.54	9280.78	5472	5666.34	5876.12	7956.87	10922.2	9119.28	9378.6	9874.31	9208.35	9900.24	7124.08	5780.24	9365.48	5427.28	5874.02	8805.12	8305.31	9022.23	9096.99	8570.34	7601.45	10529.2	5517.28
PWY-5675: nitrate reduction V (assimilatory)	637.717	10.528	0	15.718	0	116.924	53.5964	299.793	2761.71	1333.55	143.028	545.807	92.0568	1508.6	0	1927.62	747.819	264.109	278.168	1013.44	906.982	288.397	34.7285	2181.47	671.479	41.4957	36.9988	1995.2	323.934	676.232	252.677	55.2328	224.843	582.301	115.756	1242.91
PWY-5676: acetyl-CoA fermentation to butanoate II	539.184	841.723	356.043	562.668	319.652	297.763	468.829	673.506	208.851	577.602	651.96	912.732	1000.14	1105.62	93.7116	318.184	651.515	836.061	237.479	1626.12	751.633	236.213	200.81	871.691	1814	365.98	198.169	1745.98	976.367	1623.92	683.33	901.341	695.82	524.709	914.038	895.897
PWY-5677: succinate fermentation to butanoate	0	74.0594	33.8205	31.9052	8.97025	0	21.9017	45.4721	0	19.5653	119.048	128.57	56.6676	7.66991	0	0	0	139.539	69.1118	170.824	49.2231	70.3685	0	54.9127	52.2597	60.2247	9.67943	26.1215	123.334	175.901	43.5419	91.6226	283.4	0	0	28.903
PWY-5686: UMP biosynthesis	9959.71	13265.3	10921.1	12831.6	11584.9	15122.6	11058	10625.9	3870.03	7411.29	9896.56	8799.6	10319.9	12822.5	20406	8234.06	9665.14	11792.8	11690.4	8685.6	9325.9	12103.1	10999.4	5479.84	9994.9	10620.3	18989.4	9213.38	9079.04	9398.02	10456.8	9489.75	10941	9287.08	12917	6495.02
PWY-5690: TCA cycle II (plants and fungi)	585.178	242.148	201.619	836.333	759.624	575.812	1401.88	707.342	2891.48	1576.46	367.21	938.901	121.875	1163.29	382.099	1289.12	1327.57	1089.34	809.799	1064.21	688.762	921.425	280.526	1865.59	1675.16	221.32	334.77	1501.38	459.617	182.274	408.535	454.45	726.472	1619.79	995.871	2705.47
PWY-5692: allantoin degradation to glyoxylate II	19.291	0	0	0	0	11.0815	0	11.792	463.124	159.413	0	36.0062	9.4586	62.8347	0	291.437	41.8083	6.75715	0	38.4322	79.9074	0	0	261.811	18.3686	0	0	70.9678	4.84508	19.9786	5.04922	3.06545	0	0	0	22.3003
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	10009	12798.3	11024.2	11649.2	11988.9	13623.6	11477.2	11113.7	5493.52	7676.55	10901.6	10268.3	10535.9	9655.92	14347.7	7948.44	9035.5	10692.5	10835.2	8816.3	9962	10310.3	10978.2	7312.23	8708.03	11080.7	14080.1	8214.73	10203.1	9784.26	9859.89	9773.76	10064.9	7933.85	10565.7	4423.97
PWY-5705: allantoin degradation to glyoxylate III	111.665	0	0	0	0	30.0288	2.6642	65.997	828.132	216.286	30.8845	68.4596	29.5028	186.667	0	506.389	197.396	32.5581	0	124.073	149.829	9.12295	0	470.688	43.9238	0	0	253.032	86.2705	65.2312	21.1547	6.90589	6.54934	48.182	0	68.4574
PWY-5723: Rubisco shunt	815.45	0	0	0	31.5752	196.004	140.075	611.937	4669.62	2704.9	215.756	1150.11	682.653	1547.4	74.4756	2026.65	1899.65	355.593	266.217	1322.59	1053.39	326.68	72.9117	3333.8	2572.04	155.447	75.6853	1997.63	632.152	656.576	408.398	210.075	589.647	1213.12	164.524	3338.04
PWY-5747: 2-methylcitrate cycle II	22.4197	0	0	9.41463	14.1667	43.7422	32.855	132.048	1200.79	653.137	45.2717	196.882	32.0163	457.513	0	619.142	48.5432	0	55.4479	288.973	258.949	49.977	10.0972	108.226	1119.28	43.012	0	655.563	83.4202	198.018	51.2294	72.6499	46.7035	70.6531	25.2408	206.778
PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes)	0	0	0	0	0	0	0	0	3.60273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.553	0	0	0	0	0	0	8.19534	3.25113	0	6.51303	0	6.56257
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)"	535.086	63.8741	106.924	107.891	77.3829	186.661	89.311	212.322	2069.7	1298.64	158.699	1035.24	225.836	745.83	55.2384	1289.31	742.21	147.297	354.93	653.598	646.437	246.08	577.209	1805.82	1108.29	359.806	81.2182	1221.05	429.898	352.817	283.324	95.237	294.778	665.438	185.877	1902.21
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I"	535.086	63.8741	106.924	107.891	77.3829	186.661	89.311	212.322	2069.7	1298.64	158.699	1035.24	225.836	745.83	55.2384	1289.31	742.21	147.297	354.93	653.598	646.437	246.08	577.209	1805.82	1108.29	359.806	81.2182	1221.05	429.898	352.817	283.324	95.237	294.778	665.438	185.877	1902.21
PWY-5838: superpathway of menaquinol-8 biosynthesis I	1601.25	215.487	357.399	359.427	259.747	580.221	300.014	693.024	3311.39	2943.54	520.468	2724.18	709.286	2018.64	175.137	3151.57	1938.38	484.655	1092.49	1759.27	1861.74	773.961	1714.92	3373.36	2338.52	1108.63	259.564	2638.45	1296.82	1055.05	866.27	308.387	913.297	1702.1	598.467	2298.67
PWY-5840: superpathway of menaquinol-7 biosynthesis	1113.96	152.459	296.024	32.472	237.86	412.229	237.442	299.64	2934.83	2116.34	372.989	921.624	551.596	1660.79	185.863	1831.38	1460.02	410.407	655.432	966.529	1269.51	482.001	1407.54	1887.14	1386.84	478.471	268.034	2146.57	557.412	594.984	476.161	257.489	500.76	1428.16	576.684	2095.79
PWY-5845: superpathway of menaquinol-9 biosynthesis	1450.92	207.221	302.203	334.239	256.695	512.949	290.655	664.419	2934.83	2116.34	515.597	2349.21	721.785	1660.79	171.823	2354.79	1588.57	485.47	949.026	1620.82	1826.17	692.907	1685.03	2539.03	1386.84	1068.98	249.856	2146.57	1255.09	1031.47	758.727	313.388	797.924	1182.32	517.698	2095.79
PWY-5850: superpathway of menaquinol-6 biosynthesis I	1113.96	0	133.377	32.472	133.687	320.06	0	299.64	2934.83	2116.34	372.989	921.624	551.596	1660.79	0	1831.38	1460.02	341.46	609.875	966.529	1269.51	482.001	175.08	1887.14	1386.84	478.471	0	2146.57	557.412	352.023	476.161	93.3574	500.76	1182.32	356.918	2095.79
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	18.4238	0	0	0	0	3.13236	4.54467	8.42333	742.073	144.463	5.68443	147.601	133.515	194.696	20.8683	74.5828	496.751	12.7931	40.3454	113.453	61.2461	39.6795	22.4127	302.86	1179.43	14.8561	0	231.774	41.0047	94.7486	81.2233	25.1051	214.785	256.45	70.6346	552.674
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	18.4238	0	0	0	0	3.13236	4.54467	8.42333	742.073	144.463	5.68443	147.601	133.515	194.696	20.8683	74.5828	496.751	12.7931	40.3454	113.453	61.2461	39.6795	22.4127	302.86	1179.43	14.8561	0	231.774	41.0047	94.7486	81.2233	25.1051	214.785	256.45	70.6346	552.674
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	18.4238	0	0	0	0	3.13236	4.54467	8.42333	742.073	144.463	5.68443	147.601	133.515	194.696	20.8683	74.5828	496.751	12.7931	40.3454	113.453	61.2461	39.6795	22.4127	302.86	1179.43	14.8561	0	231.774	41.0047	94.7486	81.2233	25.1051	214.785	256.45	70.6346	552.674
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	774.29	0	89.3043	21.6732	89.6085	215.193	0	201.281	2515.6	1600.78	252.389	639.678	375.724	1163.83	0	1324.94	1048	230.546	417.475	684.245	892.892	328.934	117.497	1418.36	989.531	325.61	0	1592.04	381.462	239.173	326.552	62.5093	342.449	858.501	241.783	1926.68
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	1134.14	144.701	241.061	242.736	175.001	392.835	202.276	470.232	2946.4	2350.08	354.284	2056.13	486.157	1430.37	117.175	2429.24	1427.24	328.991	764.033	1312.08	1343.92	535.854	1222.47	2818.15	1753.11	775.676	174.05	2008.62	919.831	745.313	608.394	208.579	638.123	1286.35	409.885	2193.65
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	1021.67	139.111	203.463	225.52	172.924	346.664	195.896	450.492	2515.6	1600.78	350.899	1741.44	494.969	1163.83	114.95	1746.12	1148.03	329.554	659.457	1197.63	1316.15	477.808	1199.71	1996.17	989.531	746.615	167.504	1592.04	888.401	727.686	529.351	212.012	554.148	858.501	353.264	1926.68
PWY-5863: superpathway of phylloquinol biosynthesis	597.666	72.7348	121.55	120.726	88.1997	188.482	101.416	241.34	1749.6	1416.49	179.871	1153.66	192.38	714.303	61.645	1351.27	762.593	166.924	385.922	727.207	719.319	271.431	646.006	900.757	778.396	405.135	90.1201	1069.9	475.318	397.832	319.549	107.034	329.137	723.793	197.713	1474.6
PWY-5896: superpathway of menaquinol-10 biosynthesis	1113.96	0	133.377	32.472	133.687	320.06	0	299.64	2934.83	2116.34	372.989	921.624	551.596	1660.79	0	1831.38	1460.02	341.46	609.875	966.529	1269.51	482.001	175.08	1887.14	1386.84	478.471	0	2146.57	557.412	352.023	476.161	93.3574	500.76	1182.32	356.918	2095.79
PWY-5897: superpathway of menaquinol-11 biosynthesis	1435.95	189.352	314.303	316.727	228.251	529.969	263.475	612.779	3212.64	2748.52	459.604	2488.16	642.575	1957.62	164.478	2908.86	1801.75	428.238	979.803	1601.97	1686.32	692.416	1542.71	3272.88	2420.04	992.173	240.685	2680.42	1162.29	947.751	775.07	277.3	815.404	1567.34	531.504	2345.59
PWY-5898: superpathway of menaquinol-12 biosynthesis	1435.95	189.352	314.303	316.727	228.251	529.969	263.475	612.779	3212.64	2748.52	459.604	2488.16	642.575	1957.62	164.478	2908.86	1801.75	428.238	979.803	1601.97	1686.32	692.416	1542.71	3272.88	2420.04	992.173	240.685	2680.42	1162.29	947.751	775.07	277.3	815.404	1567.34	531.504	2345.59
PWY-5899: superpathway of menaquinol-13 biosynthesis	1435.95	189.352	314.303	316.727	228.251	529.969	263.475	612.779	3212.64	2748.52	459.604	2488.16	642.575	1957.62	164.478	2908.86	1801.75	428.238	979.803	1601.97	1686.32	692.416	1542.71	3272.88	2420.04	992.173	240.685	2680.42	1162.29	947.751	775.07	277.3	815.404	1567.34	531.504	2345.59
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	0	0	0	0	0	0	0	34.9515	0	0	0	0	0	0	0	0	0	0	0	0	0	87.0112	257.921	0	24.6535	0	0	0	0	0	0	0	15.8716	0	4.02237
PWY-5913: TCA cycle VI (obligate autotrophs)	834.793	508.587	68.6175	133.849	57.2847	198.006	107.975	1150.49	4268.18	2377.25	446.96	1136.37	429.911	2117.21	221.674	2652.59	1352.16	473.107	1205.17	1385.48	1407.25	1369.9	554.736	3541.74	2950.19	404.598	319.793	2784.56	660.393	701.1	520.27	1237.98	475.057	1051.28	379.623	3898.49
PWY-5918: superpathay of heme biosynthesis from glutamate	588.525	38.7861	28.0036	62.9082	47.4239	293.292	150.013	708.003	2515.75	984.959	374.212	568.844	328.73	787.283	436.085	1405.14	1003.45	463.733	379.282	804.78	785.244	228.019	97.7784	1843.22	1040.93	307.294	389.56	1218.69	576.131	474.325	303.765	147.394	202.017	783.115	133.986	1942.24
PWY-5920: superpathway of heme biosynthesis from glycine	296.786	0	0	0	16.0266	132.589	76.9712	262.745	1643.79	623.713	192.291	452.252	129.189	479.31	70.5429	863.171	623.552	220.477	223.561	478.519	557.587	132.459	46.9652	1520.8	457.825	58.9539	82.3957	644.9	314.346	262.457	162.413	81.8103	124.649	500.497	45.3712	1207.81
PWY-5941: glycogen degradation II (eukaryotic)	1617.06	491.476	2852.51	1917.69	890.167	2082.95	3708.22	610.656	35.8725	1508.36	3876.99	1845.01	3428.12	868.868	358.453	1188.16	552.469	1066.81	635.712	699.299	534.911	456.901	1706.66	396.828	631.359	2351.05	334.789	836.181	3945.25	2332.46	1195.85	3622.33	540.881	1748.31	378.197	166.499
PWY-5971: palmitate biosynthesis II (bacteria and plants)	3010.63	1871.97	1731.11	376.954	0	1338.3	509.54	2479.71	5498.63	5379.98	2042.14	3863.82	1196.09	3533.71	603.263	4557.63	3182.52	2811.12	3462.33	3725.6	3970.41	3321.14	1600.43	5270.74	4429.77	3059.5	789.48	4296.2	2675.11	2958.5	2882.14	506.297	688.765	3982.67	720.212	3751.79
PWY-5973: cis-vaccenate biosynthesis	8379.37	9367.47	9831.33	9563.66	10308	7711.26	10241.4	7803.84	5386.88	7275.52	9828.98	8150.69	9722.08	6255.49	5671.63	6715.73	6903.58	10254.2	8273.75	7102.51	8440.01	7918.98	9196.58	5786.05	7375.49	9558.66	6144.17	6379.13	8971.72	7805.16	7693.03	6806.48	7578.9	5921.27	8190.97	4313.71
PWY-5989: stearate biosynthesis II (bacteria and plants)	2891.54	1385.18	2809.62	2050.26	3245.4	1208.04	1341.08	2367.27	5239.7	5642.33	2991.51	4132.59	1086.1	2897.64	423.515	4397.56	3826.77	2959.57	2965.75	3812.05	3954.64	2763.06	3252.88	4888.57	4385.58	2392.1	561.833	3634.9	2737.18	2739.23	2197.16	370.362	1148.86	3900.87	1256.07	3672.81
PWY-5994: palmitate biosynthesis I (animals and fungi)	0	879.499	266.294	270.028	0	0	0	773.657	0	690.835	0	0	0	0	36.8934	0	0	0	1133.11	0	0	1138.29	521.058	0	0	841.702	71.1886	0	436.533	0	921.259	30.7997	0	0	268.405	100.704
PWY-6071: superpathway of phenylethylamine degradation	0	0	0	0	0	0	0	0	0	0	0	60.4471	0	180.221	0	10.0302	10.841	0	0	3.52557	35.5319	0	0	0	38.1697	0	0	273.186	0	39.3889	14.366	4.14521	0	0	0	10.4517
PWY-6113: superpathway of mycolate biosynthesis	1537.94	1371.02	472.028	71.1161	0	595.273	109.395	1264.17	4424.98	3686.52	601.404	1917.07	527.025	2441.89	433.666	3101.87	1241.66	1155.05	2258.97	1986.55	2157	2246.62	395.22	4308.11	2566.92	2389.16	543.331	3110.01	1152.89	1572.12	2561.72	335.594	176.963	2482.71	180.225	1919.89
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	9658.01	11569.5	10739	10569.9	11401.2	9205.8	11026.8	9349.76	4607.26	7795.54	9728.38	9120.58	8719.68	6468.44	7003.62	7458.42	8295.65	9830.95	9637.66	8786.42	9637.2	8978.24	10888.1	5688.59	7071.88	10199.6	7832.61	7013.62	9094	8716.15	8875.7	8218.43	9535.08	8240.41	10304.1	5047.64
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	9536.48	11738.2	10768.6	10568.7	11276.3	13521	10997.2	9140.42	5311.65	7736.68	9798.67	9016.95	8687.8	11886.4	18184.9	8491.89	8189.02	9523.82	9819.39	8805.24	9510.74	9151.3	10716.9	6338.37	8713.76	10336.7	17299.7	8699.08	9104.18	8729.89	8798.36	8040.78	9606.8	7959.5	10180.8	4916.55
PWY-6123: inosine-5'-phosphate biosynthesis I	9434.48	11053.6	10059.5	10310.3	11029.5	6899.34	10203.9	9964	3528.5	6393.33	9700.98	9318.67	9965.33	4136.89	5189.53	5718.35	7368.23	11439.2	8792.2	7880.74	9239.57	7787.79	10974.4	4609.43	5734.44	9754.37	4977.31	4424.63	8872.07	7623.28	7983.72	8200.33	7812.68	6838.48	9342.19	3784.75
PWY-6124: inosine-5'-phosphate biosynthesis II	9066.25	10569	9796.7	9924.16	10639.4	6193.86	9985.52	9684.43	3356.01	6193.13	9558.26	9132.92	9688.28	3623.31	4495.58	5231.93	7002.73	11384.8	8467.64	7565.21	8894.86	7384.25	10777.9	4386.11	5255.36	9584.99	4313.51	3970.53	8660.34	7286.53	7583.68	7932.14	7312.44	6439.73	8888.14	2542.57
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	8722.85	6465.94	7546.76	6024.67	8794.81	4725.48	8221.16	9916.29	4660.45	7435.98	10065.5	10611.5	10683.2	3707.02	11653.9	6027.84	6874.69	6792.89	4704.82	6046.5	6658.89	4428.19	9396.47	4705.32	6474.94	8381.21	8213.17	4216.24	8716.77	7880.73	8599.9	8718.78	5270.37	5634.5	3338.03	4725.6
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	7706.85	8618.29	7647.33	7478.87	8858.67	6415.58	8546.57	8037.37	5114.84	7355.45	9241.05	9330.08	9614.9	5781.29	12623.8	6660.05	8373.82	7171.73	6702.68	6593.5	7028.59	6699.64	8682.25	5930.56	6660.53	8241.66	9490.32	6202.92	8390.44	7495.55	8297.32	8642.11	7549.51	6520.23	8504.64	5937.07
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	32.0742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.6314	0	5.53625	0	0	0	0	0	0	0	20.8006	0	0	0
PWY-6143: CMP-pseudaminate biosynthesis	0	171.079	67.6402	26.0218	0	29.6391	3287.69	0	0	234.287	0	299.409	0	0	14.6088	0	116.022	131.004	251.686	0	349.974	165.757	1023.57	0	20.0658	426.847	0	5.47168	0	0	0	0	639.187	534.866	109.064	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	7193.28	9974.01	8347.8	6026.5	8710.8	11483.2	10036	7879.18	2806.23	5683.6	8673.41	8820.48	8581.1	3412.74	8323.75	4799.48	4241.06	4713.05	5111.07	4841.31	6944.76	4000.18	8711.28	4002.96	3871.22	6524.15	7539.1	3551.53	7927.45	6370.55	5243.34	6158.84	4555.98	4531.83	4687.69	3329.38
PWY-6151: S-adenosyl-L-methionine cycle I	7221.03	9981.36	8474.24	9028.46	10356.2	13156.3	8618.6	9193.96	3238.07	6045.07	6447.18	6800.56	6097.05	12739.1	19427.9	8209.49	6529.62	8894.65	9173.55	7484.23	9833.12	10408.6	9266.27	4674.77	8103.39	7720.14	18709	7461.68	6112.12	7286.18	8099.95	6247.13	8987.88	7069	9399.24	4033.25
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	9471.79	12739.2	9921.11	10719.8	11226.2	9269.29	9470.08	9857.45	4277.36	7029.07	9560.23	8471.88	9991.5	11280.7	15575.4	7960.3	8825.14	10699.8	10448.5	8570.44	9774.32	10490.8	10171.8	5591.19	8154.75	9858.27	14763	8171.14	8709.35	9114.21	10381.1	9626.62	9877.53	9435.08	11938.4	6600.3
PWY-6168: flavin biosynthesis III (fungi)	6765.88	7252.22	7475.38	6088.54	7933.34	4780.34	6234.07	8771.2	3175.32	5942.84	7791.28	7713.4	7786.29	5074.52	7284.54	4847.14	4915.19	6532.75	5756.97	6713.98	6485.84	5514.09	7762.76	3977.67	5547.66	7486.59	5782.37	5193.03	6921.68	7043.12	7031.82	6777.38	6381.18	6382.23	6697.77	3531.28
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	196.879	42.1839	0	35.2589	0	160.328	0	0	186.228	0	97.9068	0	0	98.6916	0	0	49.0954	0	0	171.278	0	0	24.9585	0	92.6843	122.185	0	1019.76
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	484.207	32.8709	0	34.3847	0	223.645	0	0	297.896	0	108.166	0	4.95891	102.653	0	0	69.9986	0	0	195.443	0	0	24.224	0	91.9628	127.696	0	1119.45
PWY-6210: 2-aminophenol degradation	0	0	0	0	0	0	0	0	0	23.9161	0	1.85644	10.9683	48.717	0	0	0	0	1.95493	0	0	1.14975	0	0	1.87055	0	0	59.503	0	0	0	0	0	0	0	0
PWY-6215: 4-chlorobenzoate degradation	0	0	0	0	0	0	0	0	199.645	43.8001	0	38.8885	0	100.487	0	0	34.0697	0	0	0	9.10878	0	0	0	57.8206	0	0	173.091	0	0	32.6353	0	0	0	0	26.5282
